Lot Name,Lot ID,Lot Title,Facility Highlights,Facility Overview,Address 1,Address 2
ASB - 120 Worth,506,120 Worth Street Lot,Located on the corners of Worth St. and S. Fayetteville St.,Convenient parking for your next destination.,120 Worth St.,"Asheboro, NC 27203"
ATL - 5419 West Mountain,659,Stone Mountain Village Parking Lot,"Paid public parking in the heart of Stone Mountain, Georgia.",Convenient parking for downtown Stone Mountain.,5419 W. Mountain St.,"Stone Mountain, GA 30083"
BNA - 1290 Porter Rd,608,1290 Porter Road Lot,Paid public parking in East Nashville.,Convenient parking for your next destination.,1290 Porter Road,"Nashville, TN 37206"
BNA - 1322 Clinton Street,543,1322 Clinton Street Lot,Paid public parking near Marathon Village in Nashville.,Convenient parking for Marathon Village and nearby Nashville destinations.,1322 Clinton St.,"Nashville, TN 37203"
BRV - 67 W Main,495,67 West Main Street Lot,Paid public parking in the heart of Brevard.,Convenient parking for your next destination.,67 W. Main St.,"Brevard, NC 28712"
BRV - 96 S Broad St,569,96 South Broad Street Lot,Paid public parking is available Monday - Friday after 6 p.m. and all day Saturday and Sunday.,Convenient parking for your next destination.,96 S. Broad St.,"Brevard, NC 28712"
BWI - 46 W. 26th St,606,46 West 26th Street Lot,Paid public parking in central Baltimore.,Convenient parking for your next destination.,46 W. 26th St.,"Baltimore, MD 21218"
CAE - 1026 Market Rd,697,1026 Market Road Lot,Paid public parking near Williams-Brice Stadium and the South Carolina State Fairgrounds.,"Convenient event parking for the stadium, fairgrounds, and nearby Columbia destinations.",1026 Market Rd.,"Columbia, SC 29201"
CAE - 1049 Shop Rd,639,1049 Shop Road Lot,Paid public parking near Williams-Brice Stadium and the South Carolina State Fairgrounds.,"Convenient event parking for the stadium, fairgrounds, and nearby Columbia destinations.",1049 Shop Rd.,"Columbia, SC 29201"
CAE - 1212 Pendleton,581,1212 Pendleton Street Lot,Paid public parking near the University of South Carolina and downtown Columbia.,"Convenient parking for campus, state government, and downtown Columbia destinations.",1212 Pendleton St.,"Columbia, SC 29201"
CAE - 1320 Senate,580,1320 Senate Street Lot,Paid public parking near the University of South Carolina and downtown Columbia.,"Convenient parking for campus, state government, and downtown Columbia destinations.",1320 Senate St.,"Columbia, SC 29201"
CHS - 1099 Aragon Ave,650,1099 Aragon Avenue Lot,Paid public parking in the Park Circle area of North Charleston.,"Convenient parking for Park Circle shops, restaurants, and nearby destinations.",1099 Aragon Ave.,"North Charleston, SC 29405"
CHS - 1350 Meeting Street,643,1350 Meeting Street Lot,Paid public parking in Charleston.,"Convenient parking for nearby Charleston restaurants, businesses, and destinations.",1350 Meeting St.,"Charleston, SC 29405"
