Lot Name,Description,Parkmaster Lot Id,Images?,Direct Link,PM2020 ADDR,PM2020 Facility Overview,PM2020 Facility Highlights
CLT - 1411 S Tryon,1411 S Tryon St,485,no,https://www.preferredparking.com/lotdetails.aspx?lotid=485,1411 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1431 W Morehead St,1431 W Morehead St,694,no,https://www.preferredparking.com/lotdetails.aspx?lotid=694,1431 W. Morehead St.,Surface Lot Parking in the heart of FreeMoreWest,Convenient parking for your destination.
CLT - 1438 Winnifred Street,1438 Winnifred Street,562,no,https://www.preferredparking.com/lotdetails.aspx?lotid=562,1438 Winnifred St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1445 S Mint St,1445 S Mint St,406,no,https://www.preferredparking.com/lotdetails.aspx?lotid=406,1445 S. Mint St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1447 S Tryon St,1447 S Tryon St,445,no,https://www.preferredparking.com/lotdetails.aspx?lotid=445,1447 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1520 S Tryon St.,1520 S Tryon St.,618,no,https://www.preferredparking.com/lotdetails.aspx?lotid=618,1520 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 158 W 10th St,Charlotte Ballet,652,no,https://www.preferredparking.com/lotdetails.aspx?lotid=652,158 W. 10th St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 1800 Central Ave,1800 Central Ave,677,no,https://www.preferredparking.com/lotdetails.aspx?lotid=677,1800 Central Ave.,Surface Lot Parking in the heart of Plaza Midwood,Convenient parking for your destination.
CLT - 1900 South Blvd Lot,1900 South Blvd.,555,no,https://www.preferredparking.com/lotdetails.aspx?lotid=555,1900 South Blvd.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1961 E 7th St,Shops on 7th,698,no,https://www.preferredparking.com/lotdetails.aspx?lotid=698,1961 E. 7th St.,Surface Lot Parking in the heart of Elizabeth,Convenient parking for your destination.
CLT - 2001 E 7th St,2001 E 7th St Pecan Point,701,no,https://www.preferredparking.com/lotdetails.aspx?lotid=701,2001 E. 7th St.,Surface Lot Parking in the heart of Elizabeth,Convenient parking for your destination.
CLT - 205 E Bland St,205 E Bland St,510,no,https://www.preferredparking.com/lotdetails.aspx?lotid=510,205 E. Bland St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 205 W Morehead St,205 W Morehead St,429,no,https://www.preferredparking.com/lotdetails.aspx?lotid=429,205 W. Morehead St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 2100 S Tryon St,2100 S. Tryon St.,570,no,https://www.preferredparking.com/lotdetails.aspx?lotid=570,2100 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT – 212 W Blvd Tenants,CLT – 212 West Blvd Tenants,563,no,https://www.preferredparking.com/lotdetails.aspx?lotid=563,212 West Blvd.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 2132 Hawkins St,2132 Hawkins St,386,no,https://www.preferredparking.com/lotdetails.aspx?lotid=386,2132 Hawkins St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 2150 Hawkins St,2150 Hawkins St,617,no,https://www.preferredparking.com/lotdetails.aspx?lotid=617,2150 Hawkins St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 217 W Morehead St,217 W Morehead St,431,no,https://www.preferredparking.com/lotdetails.aspx?lotid=431,217 W. Morehead St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 2170 Tenants,2170 Hawkins St,686,no,https://www.preferredparking.com/lotdetails.aspx?lotid=686,2170 Hawkins St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 220 E Peterson,220 E Peterson,690,no,https://www.preferredparking.com/lotdetails.aspx?lotid=690,220 E. Peterson Dr.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 2200 S Tryon St,2200 S Tryon St,600,no,https://www.preferredparking.com/lotdetails.aspx?lotid=600,2200 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 221 N Caldwell All,Lot 221 - Event Access,146,no,https://www.preferredparking.com/lotdetails.aspx?lotid=146,221 N. Caldwell St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 230 Peterson Dr,230 Peterson Dr,676,no,https://www.preferredparking.com/lotdetails.aspx?lotid=676,230 Peterson Dr.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 2833 Griffith St,2833 Griffith St,685,no,https://www.preferredparking.com/lotdetails.aspx?lotid=685,2833 Griffith St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 301 W Summit St,Kask America,658,no,https://www.preferredparking.com/lotdetails.aspx?lotid=658,301 W. Summit St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 321 N Caldwell,in front of 321 N. Caldwell St,337,no,https://www.preferredparking.com/lotdetails.aspx?lotid=337,321 N. Caldwell St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 3220 N Davidson St,3220 N. Davidson Street,446,no,https://www.preferredparking.com/lotdetails.aspx?lotid=446,3220 N. Davidson St.,Surface Lot Parking in the heart of NoDa,Convenient parking for your destination.
CLT - 328 N Brevard St,328 N Brevard Street,297,no,https://www.preferredparking.com/lotdetails.aspx?lotid=297,328 N. Brevard St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 401 N McDowell Residents,401 N McDowell Residents,635,no,https://www.preferredparking.com/lotdetails.aspx?lotid=635,401 N. McDowell St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 401 W Morehead,Doghouse Parking Lot,397,no,https://www.preferredparking.com/lotdetails.aspx?lotid=397,401 W. Morehead St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 402 W Trade St,402 W Trade St,689,no,https://www.preferredparking.com/lotdetails.aspx?lotid=689,402 W. Trade St.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 402a,Corner of 3rd and Brevard,248,no,https://www.preferredparking.com/lotdetails.aspx?lotid=248,402 E. 3rd St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 4044 Yancey Rd,4044 Yancey Rd,696,no,https://www.preferredparking.com/lotdetails.aspx?lotid=696,4044 Yancey Rd.,Surface Lot Parking in the heart of Lower South End,Convenient parking for your destination.
CLT - 410 E 35th,410 E. 35th Street,325,no,https://www.preferredparking.com/lotdetails.aspx?lotid=325,410 E. 35th St.,Surface Lot Parking in the heart of NoDa,Convenient parking for your destination.
CLT - 415 E 4th,415 E. 4th Street,157,no,https://www.preferredparking.com/lotdetails.aspx?lotid=157,415 E. 4th St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 417 W 6th,417 W. 6th Street,176,no,https://www.preferredparking.com/lotdetails.aspx?lotid=176,417 W. 6th St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 426 E Trade,426 E. Trade Street,11,no,https://www.preferredparking.com/lotdetails.aspx?lotid=11,426 E. Trade St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 436 E 36th,436 E. 36th Street,327,no,https://www.preferredparking.com/lotdetails.aspx?lotid=327,436 E. 36th St.,Surface Lot Parking in the heart of NoDa,Convenient parking for your destination.
